"V1" "V2" "V3" "V11" "V12" "V13" "V21" "V22" "V23" "V31" "V32" "V33"
"1" 821 914 889 645 482 553 401 274 403 367 469 394
"2" 52 41 31 29 35 10 0 0 0 25 21 19
"3" 1093 806 774 666 393 708 427 541 419 486 485 525
"4" 3197 2889 2354 1934 1529 1461 1146 1514 2061 1682 1337 1553
"5" 13 7 1 1 3 15 5 6 21 0 0 0
"6" 3051 3188 4403 2150 2020 1750 1566 1451 2122 1809 1750 1589
"7" 216 149 130 79 91 66 100 110 71 112 137 80
"8" 1898 1734 1886 1189 811 1008 1007 1011 1165 442 583 222
"9" 2258 2647 2768 1345 1319 1458 1002 1247 1015 1334 1174 977
"10" 7439 9378 7609 5427 3929 5838 3399 3959 5082 4082 2862 3366
"11" 5555 6906 5561 4958 3915 2923 2754 3495 2709 2344 2512 2514
"12" 576 827 755 620 674 392 361 491 473 645 314 469
"13" 0 2 1 1 1 0 0 0 0 1 6 2
"14" 3307 3044 2813 1959 1731 2145 855 1014 1113 2224 1953 2182
"15" 13 8 8 3 8 9 4 13 6 1 9 14
"16" 41 26 27 13 19 24 16 11 23 52 10 32
"17" 845 846 882 553 648 477 287 218 246 447 414 512
"18" 69 102 64 21 59 55 19 41 23 97 135 99
"19" 19 30 30 29 24 20 2 14 14 2 6 3
"20" 277 348 150 214 195 188 115 179 161 119 98 97
"21" 645 634 486 278 312 222 167 232 321 375 323 298
"22" 2110 1498 1759 811 938 687 1094 1161 665 816 758 713
"23" 8306 7063 7417 4549 3789 4234 3953 3327 3335 3831 2589 4506
"24" 683 731 864 371 505 220 404 705 203 303 263 302
"25" 1079 1115 1167 577 670 583 749 459 483 508 554 522
"26" 18 17 10 8 9 18 9 7 7 3 1 9
"27" 7892 7218 7072 4151 3860 4011 3039 2878 2736 4433 4391 4928
"28" 245 322 291 254 209 114 130 80 150 65 60 70
"29" 16463 12122 16778 8773 7649 8390 8775 6989 7727 7595 7934 8318
"30" 2901 2501 2754 1293 1847 1340 1151 1026 1157 968 1011 1175
"31" 2275 1799 2026 1313 1078 1473 842 927 1173 1241 1068 1019
"32" 1143 1921 1362 1013 1115 714 639 756 573 741 629 720
"33" 5182 3763 4909 3174 3273 1891 1878 2624 1678 1637 1657 1701
"34" 8 11 14 2 1 1 4 7 14 0 0 0
"35" 817 764 664 429 426 392 186 360 230 550 746 519
"36" 5491 5869 4930 3832 3730 3412 2216 2131 1882 2723 3387 2854
"37" 4743 6549 7629 3873 3926 3254 2516 2779 3262 3345 3583 3326
"38" 8937 13577 12544 7990 8628 6395 6042 4402 6707 5147 5067 5155
"39" 775 719 513 358 406 471 196 267 189 438 478 221
"40" 5673 6687 5313 4018 3962 4041 3014 2766 3111 3879 4430 4212
"41" 406 641 570 403 266 377 167 195 199 235 169 366
"42" 853 1035 834 627 725 546 331 305 327 674 692 870
"43" 440 411 481 232 267 247 198 202 182 198 193 236
"44" 27 67 66 45 59 35 26 26 33 14 7 18
"45" 5429 8083 8986 3683 3622 3359 3160 3707 3416 3172 4291 3855
"46" 38 58 37 10 26 22 32 29 23 7 10 23
"47" 2114 2132 2455 1366 1368 1331 1036 1138 913 926 928 894
"48" 81 57 56 16 44 73 22 15 35 40 32 57
"49" 453 510 624 308 314 496 389 311 363 190 209 227
"50" 1158 767 1159 573 529 504 382 485 530 396 654 588
"51" 4082 4303 3330 2165 2775 3204 561 721 431 999 850 1013
"52" 540 453 622 396 359 191 83 46 109 102 78 39
"53" 57 37 90 76 60 30 17 6 11 9 9 4
"54" 907 1353 954 646 564 966 219 201 174 146 221 161
"55" 6846 8955 5305 3036 4026 3275 678 1119 621 934 910 821
"56" 8158 6770 7045 4551 4093 4449 1241 1449 955 1331 1038 1393
"57" 159 211 130 70 134 103 47 36 33 24 30 12
"58" 2275 2274 2067 1124 1127 1238 415 490 391 387 307 279
"59" 24 17 5 1 19 7 3 3 5 3 5 6
"60" 941 799 1035 487 630 622 105 119 130 155 137 194
"61" 599 648 577 533 471 453 183 255 216 53 53 33
"62" 3054 2024 2639 1597 1143 1640 322 293 265 472 553 430
"63" 5266 5483 6713 3230 3062 3099 658 708 805 719 603 721
"64" 11008 13797 8641 7173 7034 7078 951 1355 1323 2351 2123 2326
"65" 11019 9554 11121 6581 5318 5305 1530 1734 1641 1922 1271 1561
"66" 29858 30123 26272 16558 21131 14837 6162 4658 4635 4562 4903 5400
"67" 2038 1651 2172 1095 1222 1541 336 334 307 474 409 409
"68" 16903 23650 18274 11238 10832 11162 2343 2494 2362 4132 3066 2956
"69" 5146 6405 5931 3027 3143 3101 788 753 1064 1014 781 751
"70" 8437 9051 8055 5776 5162 6093 1259 1503 2022 1870 1682 1967
"71" 729 699 681 609 453 554 65 65 171 205 179 201
"72" 576 570 613 316 512 297 127 121 78 155 107 141
"73" 1466 1257 1465 1005 970 851 263 257 191 279 203 372
"74" 135 122 156 72 110 47 10 14 18 18 51 29
"75" 6915 6399 7097 3289 4974 3538 906 862 794 841 1407 1693
"76" 7015 7053 8279 4695 4102 4289 1143 1031 1057 861 1055 1204
"77" 503 415 376 246 163 195 22 27 26 80 78 67
"78" 1185 1373 1243 830 1515 700 372 223 276 237 271 184
"79" 126 110 142 82 33 55 69 49 37 18 7 6
"80" 402 443 398 201 198 116 74 89 81 71 47 27
"81" 132 261 173 105 150 99 38 28 74 5 6 2
"82" 3542 2756 4073 2066 1782 1641 406 728 446 582 566 522
"83" 4054 3670 4541 2499 1554 2334 520 581 411 847 622 648
"84" 1257 1767 1286 736 887 754 196 239 225 209 291 295
"85" 4715 6205 3986 2750 2651 2705 944 717 637 943 948 1006
"86" 494 279 535 284 272 301 37 29 33 123 122 81
"87" 5477 4964 5457 3311 4357 3044 1220 989 998 617 665 839
"88" 12983 18426 18815 8203 10548 10578 2342 2466 3031 2837 2439 3242
"89" 1176 842 1066 578 625 600 45 148 160 45 45 97
"90" 15603 15720 14474 9502 8162 7429 2347 2589 2085 2316 2350 1922
"91" 3615 4706 4579 1936 2025 2325 846 960 763 654 729 762
"92" 1246 1437 1164 895 794 837 86 197 166 442 298 399
"93" 13503 14816 12133 7646 7366 7647 2394 1719 1798 2103 2165 2058
"94" 3769 3813 3016 2065 2139 2660 659 617 579 395 411 529
"95" 198 258 195 110 132 141 25 9 20 46 67 35
"96" 10355 8578 8695 4389 4821 5155 1154 1135 922 1162 1201 1074
"97" 7895 5988 8215 4095 3734 4835 1352 1352 1409 1455 1450 1562
"98" 1956 2214 1745 1333 1106 1047 361 161 245 449 547 281
"99" 939 1167 1270 699 771 507 185 163 219 233 174 140
"100" 14693 18838 24625 9061 9466 9085 2645 3618 2515 3029 2923 3100
"101" 875 731 802 1762 1438 1239 785 839 863 729 467 594
"102" 6195 8737 6294 18015 19128 20266 11537 10251 9712 8754 8062 8500
"103" 771 733 796 1489 1942 1983 874 981 909 628 767 894
"104" 4737 4460 4329 7425 5417 6285 4961 4130 4957 3769 3406 2985
"105" 295 186 178 458 265 289 190 218 262 287 242 338
"106" 1489 1870 1479 2334 2442 3141 1308 1892 1251 1434 1489 1323
"107" 4379 3209 4960 6443 7953 7707 6185 3902 4329 4054 3237 2522
"108" 71 125 130 292 276 407 229 110 214 89 134 95
"109" 47 13 28 181 87 125 78 64 73 47 65 53
"110" 167 179 157 617 439 705 453 389 309 205 169 349
"111" 5 1 2 11 14 19 12 3 6 2 5 9
"112" 311 306 274 630 486 658 377 275 436 177 349 292
"113" 255 343 363 1033 806 747 419 258 389 517 398 578
"114" 1097 1043 1157 2509 1664 2361 1508 1209 1235 701 911 631
"115" 0 0 0 1 1 0 1 2 0 0 0 0
"116" 327 310 161 649 696 604 382 342 336 437 440 345
"117" 2510 3582 2963 6235 5983 5773 3207 3693 2809 2183 2522 1671
"118" 4549 5321 5929 11016 11749 10320 7663 8064 7192 5470 5526 5990
"119" 1255 1159 1503 2531 2726 2457 1438 1870 1616 1067 1255 1171
"120" 2159 1815 1419 3573 4167 4128 2631 2762 1732 3011 2637 2864
"121" 4182 4399 4064 8042 7363 8171 4667 4842 4322 3611 3620 3818
"122" 1101 1375 1620 2705 3021 2595 1645 1754 1823 826 1519 1254
"123" 425 271 370 766 666 586 325 391 489 353 210 361
"124" 0 0 0 13 15 29 2 2 5 15 10 23
"125" 39 98 73 261 222 121 110 164 110 114 76 98
"126" 157 129 175 599 414 498 306 214 305 220 283 191
"127" 17 14 2 7 21 26 11 13 29 30 41 29
"128" 3055 3665 4340 7063 7057 7406 4321 4772 4911 4990 3918 3715
"129" 3459 3004 3035 8047 9033 10081 4050 4357 3815 3933 4703 3681
"130" 493 702 534 1357 1603 1415 649 959 855 619 670 547
"131" 124 97 150 435 355 578 216 319 231 199 166 235
"132" 0 0 0 45 30 26 10 25 31 0 1 13
"133" 3931 3657 4031 7874 7894 5209 4640 3942 3944 2024 2922 2465
"134" 51 42 30 147 143 99 64 91 61 29 10 15
"135" 853 707 678 1333 1078 1371 907 655 724 505 266 466
"136" 20 5 12 39 61 43 14 26 15 18 37 17
"137" 120 59 26 107 134 157 109 91 129 9 5 12
"138" 677 808 482 1679 1431 2414 1028 981 1078 1280 1111 1203
"139" 9 15 27 40 32 83 18 44 57 9 24 25
"140" 917 726 701 1851 2165 2274 1030 944 1448 790 986 1029
"141" 7431 7856 7133 17714 20266 21422 11817 12981 12095 8668 9012 10374
"142" 466 271 357 598 898 703 428 423 426 277 239 207
"143" 1533 1326 1386 2813 3132 3034 1677 1482 1675 1642 1858 1465
"144" 1537 1787 1406 3895 3225 3847 1759 1991 1725 1782 1683 1558
"145" 784 383 789 687 865 714 383 645 705 589 580 742
"146" 326 211 211 617 393 537 153 314 203 303 154 251
"147" 710 651 858 1669 1624 1485 1115 799 935 830 858 1010
"148" 427 497 579 1356 1047 1077 597 769 857 432 350 766
"149" 189 187 190 271 378 519 214 272 187 159 197 80
"150" 500 475 388 608 971 481 355 447 449 210 265 189
"151" 141 191 157 745 846 806 699 544 599 230 158 227
"152" 4852 5276 4334 30565 32222 29800 19065 17755 18935 5561 3355 4526
"153" 186 239 187 2628 1952 2030 1910 1127 1228 352 280 316
"154" 318 272 178 3147 2562 2599 1821 1667 1632 602 610 543
"155" 1 4 2 25 73 35 22 24 22 19 17 7
"156" 1857 1611 1666 9512 10979 12027 9850 6891 6730 1481 1577 1473
"157" 386 417 514 2696 2250 2732 2038 1489 1691 626 645 659
"158" 617 553 538 2799 3299 4031 1882 1859 1910 496 554 402
"159" 5726 5185 5375 35751 34423 31666 13035 18670 21654 6519 8080 8300
"160" 87 31 83 511 910 346 389 507 347 59 94 142
"161" 163 191 136 891 958 812 601 494 596 100 127 74
"162" 43 114 100 526 457 449 265 223 263 87 73 107
"163" 827 1464 923 8317 7000 9110 4369 4971 3465 1637 1741 1443
"164" 675 720 530 5962 5952 5573 3605 2942 3321 1189 1514 1168
"165" 3334 3162 4705 28723 20504 20867 10823 13733 14129 2855 4382 4598
"166" 1046 873 1121 6182 6201 6121 3528 3301 3095 703 734 729
"167" 0 11 3 18 17 10 8 11 6 11 9 2
"168" 17 11 52 86 80 141 100 50 47 2 2 8
"169" 340 441 426 1273 1566 1701 1085 903 1210 339 344 256
"170" 2 2 3 108 114 45 81 58 43 10 3 4
"171" 2915 2665 3387 14256 18383 14797 11586 10097 8655 2639 2211 2415
"172" 1393 1270 1265 6651 8307 6100 5838 5077 4351 935 799 837
