"V1" "V2" "V3" "V11" "V12" "V13" "V21" "V22" "V23" "V31" "V32" "V33"
"1" 410 457 444 322 241 277 200 137 202 183 234 197
"2" 26 20 15 14 18 5 0 0 0 12 10 10
"3" 547 403 387 333 197 354 214 271 210 243 243 263
"4" 1598 1445 1177 967 765 730 573 757 1031 841 669 776
"5" 6 3 0 1 2 7 3 3 11 0 0 0
"6" 1525 1594 2201 1075 1010 875 783 725 1061 904 875 794
"7" 108 74 65 39 45 33 50 55 36 56 69 40
"8" 949 867 943 595 405 504 503 505 583 221 291 111
"9" 1129 1324 1384 672 660 729 501 624 508 667 587 488
"10" 3719 4689 3805 2714 1965 2919 1700 1980 2541 2041 1431 1683
"11" 2778 3453 2781 2479 1958 1461 1377 1748 1355 1172 1256 1257
"12" 288 413 378 310 337 196 181 246 237 323 157 235
"13" 0 1 0 1 0 0 0 0 0 1 3 1
"14" 1653 1522 1406 979 865 1072 428 507 556 1112 976 1091
"15" 6 4 4 2 4 4 2 7 3 1 4 7
"16" 20 13 14 6 10 12 8 5 11 26 5 16
"17" 422 423 441 277 324 239 143 109 123 223 207 256
"18" 35 51 32 11 29 27 9 20 11 49 67 50
"19" 10 15 15 14 12 10 1 7 7 1 3 2
"20" 138 174 75 107 98 94 57 90 80 60 49 48
"21" 322 317 243 139 156 111 83 116 160 187 161 149
"22" 1055 749 879 406 469 343 547 581 333 408 379 356
"23" 4153 3532 3708 2275 1895 2117 1977 1664 1668 1915 1295 2253
"24" 341 366 432 186 252 110 202 353 101 151 131 151
"25" 539 557 583 288 335 292 374 229 241 254 277 261
"26" 9 9 5 4 4 9 5 4 3 2 1 5
"27" 3946 3609 3536 2075 1930 2005 1520 1439 1368 2216 2195 2464
"28" 122 161 145 127 104 57 65 40 75 32 30 35
"29" 8231 6061 8389 4387 3824 4195 4388 3494 3863 3798 3967 4159
"30" 1450 1251 1377 647 923 670 576 513 579 484 505 588
"31" 1137 900 1013 656 539 737 421 464 587 621 534 509
"32" 571 961 681 507 558 357 319 378 287 370 314 360
"33" 2591 1882 2455 1587 1636 946 939 1312 839 819 829 850
"34" 4 5 7 1 1 1 2 3 7 0 0 0
"35" 409 382 332 215 213 196 93 180 115 275 373 260
"36" 2745 2934 2465 1916 1865 1706 1108 1065 941 1362 1694 1427
"37" 2372 3275 3815 1936 1963 1627 1258 1390 1631 1673 1791 1663
"38" 4469 6788 6272 3995 4314 3198 3021 2201 3354 2573 2533 2578
"39" 387 359 257 179 203 235 98 134 95 219 239 111
"40" 2836 3343 2656 2009 1981 2021 1507 1383 1556 1939 2215 2106
"41" 203 320 285 202 133 189 84 98 99 118 85 183
"42" 426 518 417 313 362 273 166 153 163 337 346 435
"43" 220 206 240 116 134 123 99 101 91 99 97 118
"44" 13 33 33 22 29 18 13 13 16 7 3 9
"45" 2715 4042 4493 1841 1811 1680 1580 1854 1708 1586 2145 1928
"46" 19 29 18 5 13 11 16 15 11 4 5 11
"47" 1057 1066 1227 683 684 665 518 569 456 463 464 447
"48" 40 29 28 8 22 37 11 8 17 20 16 28
"49" 226 255 312 154 157 248 194 156 181 95 105 114
"50" 579 383 580 286 265 252 191 242 265 198 327 294
"51" 2041 2152 1665 1082 1388 1602 280 361 216 500 425 507
"52" 270 227 311 198 180 96 41 23 55 51 39 20
"53" 29 19 45 38 30 15 8 3 5 5 4 2
"54" 453 677 477 323 282 483 109 100 87 73 110 81
"55" 3423 4478 2652 1518 2013 1638 339 559 311 467 455 410
"56" 4079 3385 3523 2275 2046 2224 621 725 478 666 519 697
"57" 80 105 65 35 67 52 23 18 16 12 15 6
"58" 1138 1137 1033 562 564 619 207 245 195 194 153 140
"59" 12 9 2 1 9 3 1 2 3 1 2 3
"60" 471 399 517 243 315 311 53 59 65 77 68 97
"61" 299 324 289 266 236 226 91 127 108 26 27 17
"62" 1527 1012 1320 799 572 820 161 146 133 236 276 215
"63" 2633 2742 3356 1615 1531 1550 329 354 403 360 301 360
"64" 5504 6899 4320 3586 3517 3539 475 677 662 1176 1062 1163
"65" 5509 4777 5560 3290 2659 2653 765 867 821 961 636 781
"66" 14929 15061 13136 8279 10566 7419 3081 2329 2318 2281 2451 2700
"67" 1019 826 1086 547 611 770 168 167 153 237 204 205
"68" 8452 11825 9137 5619 5416 5581 1172 1247 1181 2066 1533 1478
"69" 2573 3202 2966 1514 1571 1551 394 377 532 507 390 376
"70" 4219 4526 4028 2888 2581 3046 629 752 1011 935 841 983
"71" 365 349 340 305 226 277 32 33 85 103 89 101
