"TP1_1" "TP1_2" "TP1_3" "TP2_1" "TP2_2" "TP2_3" "TP3_1" "TP3_2" "TP3_3" "TP4_1" "TP4_2" "TP4_3"
"gene_1" 202 218 305 352 403 329 190 182 186 235 147 252
"gene_2" 15 14 15 2 3 4 0 0 0 10 47 15
"gene_3" 273 180 201 324 414 235 264 261 239 285 240 290
"gene_4" 868 875 986 944 946 898 1168 1020 731 740 834 917
"gene_5" 5 2 2 0 0 0 1 7 2 0 0 0
"gene_6" 683 662 789 1036 940 671 1004 731 660 1439 1102 1334
"gene_7" 19 20 23 38 34 44 63 42 48 40 37 54
"gene_8" 676 559 539 481 564 528 640 622 802 265 280 194
"gene_9" 540 502 774 581 545 516 657 658 505 704 512 582
"gene_10" 2778 3237 3122 2619 2261 2330 2316 2395 2592 2504 1706 2161
"gene_11" 1498 1688 2012 1319 1295 1470 1373 1618 1930 1085 1421 1163
"gene_12" 208 204 217 212 302 209 214 225 213 299 261 340
"gene_13" 0 0 0 0 0 0 0 0 0 3 7 0
"gene_14" 814 808 644 1319 868 936 448 455 599 978 1048 1341
"gene_15" 0 0 0 1 0 2 7 2 5 1 1 4
"gene_16" 3 7 2 8 2 7 5 5 10 5 20 25
"gene_17" 294 367 227 239 310 404 195 178 145 212 284 208
"gene_18" 11 11 5 11 8 23 25 9 16 79 26 32
"gene_19" 9 4 6 4 12 8 9 6 4 1 4 3
"gene_20" 94 97 107 60 67 55 57 42 135 51 61 62
"gene_21" 116 163 97 100 138 168 118 67 115 113 135 156
"gene_22" 337 401 427 761 739 674 630 514 575 387 411 412
"gene_23" 1605 2253 1929 2247 2043 1558 1791 1497 1663 1673 1368 1701
"gene_24" 167 165 226 107 130 108 245 190 402 194 197 134
"gene_25" 302 288 299 301 232 231 298 340 247 252 255 278
"gene_26" 15 4 5 11 7 8 3 3 2 6 4 4
"gene_27" 1602 1478 1480 1818 1799 1819 1627 1361 1380 1689 1957 1685
"gene_28" 54 82 79 102 101 95 83 44 65 51 36 29
"gene_29" 2808 4737 2858 3923 4234 4327 3997 3334 3868 3311 4169 3458
"gene_30" 886 798 874 745 855 825 508 545 528 639 629 541
"gene_31" 586 484 517 516 363 575 408 409 434 591 594 605
"gene_32" 395 384 308 563 515 562 271 398 424 366 338 439
"gene_33" 1580 1312 1782 866 926 997 1302 939 1108 1264 1162 1045
"gene_34" 1 1 0 0 0 0 3 7 5 0 0 0
"gene_35" 117 102 117 140 133 151 221 125 108 282 374 235
"gene_36" 1442 1472 1318 1758 1813 1661 908 1057 1368 1536 1454 1431
"gene_37" 2156 1865 1736 823 957 1000 1236 1406 1528 1467 1143 2127
"gene_38" 3853 4027 4518 2554 2749 2753 4521 3128 3975 2969 2865 2334
"gene_39" 307 192 212 186 132 186 120 161 77 144 220 168
"gene_40" 1627 1771 1527 1698 1938 2418 1628 1384 1330 1979 2468 2007
"gene_41" 158 158 197 289 136 138 92 113 110 167 90 177
"gene_42" 226 146 239 302 289 255 288 255 313 385 280 377
"gene_43" 138 143 118 183 112 178 108 85 128 146 82 99
"gene_44" 15 36 13 16 7 19 13 12 11 9 4 10
"gene_45" 2027 2005 1474 2062 2025 1496 1920 1712 1433 1992 1478 2085
"gene_46" 5 2 2 30 33 18 12 15 9 21 15 17
"gene_47" 328 575 503 733 809 743 522 639 466 667 462 608
"gene_48" 11 22 20 10 13 23 8 17 9 10 18 14
"gene_49" 205 136 228 181 185 115 138 158 155 109 102 97
"gene_50" 304 187 224 232 191 278 265 201 261 402 289 345
"gene_51" 305 301 231 284 391 257 433 312 332 478 423 408
"gene_52" 52 49 61 40 38 33 28 46 39 49 28 25
"gene_53" 11 8 9 2 3 3 7 2 5 5 2 2
"gene_54" 134 108 129 114 106 112 130 122 97 109 79 109
"gene_55" 481 497 545 720 620 548 427 409 505 425 458 548
"gene_56" 588 655 687 809 597 631 653 771 566 738 544 608
"gene_57" 11 5 20 12 18 14 19 20 28 11 16 16
"gene_58" 153 105 120 117 139 194 257 226 271 141 180 307
"gene_59" 0 0 0 0 0 0 2 4 1 1 1 3
"gene_60" 107 93 105 32 67 70 60 69 77 106 109 73
"gene_61" 56 55 30 104 145 90 89 106 55 16 13 30
"gene_62" 155 240 267 196 186 195 136 169 151 260 270 219
"gene_63" 488 412 460 604 525 606 443 440 489 522 528 491
"gene_64" 1399 847 1067 1775 1548 1452 632 689 556 1157 993 1103
"gene_65" 1012 1026 1073 700 705 653 816 796 882 804 928 892
"gene_66" 3018 2846 3195 3150 2692 2775 3065 3915 3054 2958 2663 2562
"gene_67" 150 126 128 157 220 154 175 245 203 229 227 179
"gene_68" 1761 1132 1142 2523 2515 2367 1548 1302 1405 2114 2046 1163
"gene_69" 419 464 634 703 649 647 361 456 594 435 428 409
"gene_70" 815 695 755 682 712 678 839 871 774 1062 1515 670
"gene_71" 48 55 70 97 74 116 44 53 68 98 87 139
"gene_72" 78 50 55 38 35 90 68 64 32 57 67 62
"gene_73" 101 125 109 103 134 123 131 133 195 141 137 124
"gene_74" 9 14 13 32 29 32 7 5 4 19 26 4
"gene_75" 596 556 493 458 499 380 491 476 499 688 625 759
"gene_76" 612 647 618 642 616 650 565 668 548 609 574 596
"gene_77" 65 47 73 25 30 65 11 10 12 63 25 29
"gene_78" 148 149 189 112 78 92 149 127 140 103 124 101
"gene_79" 7 6 5 5 5 8 27 28 20 7 8 8
"gene_80" 55 21 42 42 15 26 58 46 43 22 15 45
"gene_81" 13 23 19 19 15 19 46 27 35 2 2 2
"gene_82" 311 291 317 275 307 247 175 207 227 241 433 261
"gene_83" 478 484 423 411 372 362 307 313 310 320 288 279
"gene_84" 102 106 158 146 109 129 100 104 96 157 141 192
"gene_85" 280 375 342 527 473 415 274 282 494 388 378 557
"gene_86" 70 52 62 19 30 32 19 41 31 50 41 32
"gene_87" 761 537 433 468 595 478 493 610 350 472 578 560
"gene_88" 1487 1778 1615 1913 1346 1853 1494 1304 1111 1226 1373 1274
"gene_89" 218 197 119 117 87 106 56 66 62 52 38 42
"gene_90" 800 812 1141 1334 1115 1565 1088 1230 1251 1412 1252 1460
"gene_91" 349 284 365 329 344 254 452 402 395 316 322 313
"gene_92" 96 95 124 132 108 168 58 78 88 172 197 138
"gene_93" 1198 1587 982 909 1019 990 1015 1050 1382 1106 1210 1114
"gene_94" 326 209 232 600 519 480 312 354 335 260 234 338
"gene_95" 5 3 8 23 18 21 30 18 18 30 31 17
"gene_96" 885 1060 875 710 666 853 660 556 496 551 799 611
"gene_97" 536 519 573 597 554 374 744 700 745 772 802 908
"gene_98" 173 297 225 103 136 103 154 101 161 328 225 178
"gene_99" 71 73 103 59 77 49 71 48 95 78 103 108
"gene_100" 1516 1142 1122 1127 1368 1247 1508 1276 1580 1376 1349 1540
"gene_101" 418 440 568 318 320 316 408 452 416 393 387 361
