"V1" "V2" "V3" "V11" "V12" "V13" "V21" "V22" "V23" "V31" "V32" "V33"
"1" 2051 2286 2221 1611 1206 1383 1001 684 1009 917 1171 984
"2" 130 101 77 71 89 26 0 0 0 61 51 49
"3" 2733 2016 1934 1664 983 1770 1069 1353 1049 1214 1213 1313
"4" 7991 7223 5886 4836 3823 3651 2866 3786 5153 4204 3343 3881
"5" 31 17 1 3 9 37 13 16 53 0 0 0
"6" 7627 7970 11007 5374 5050 4374 3916 3627 5306 4521 4376 3971
"7" 540 371 324 197 227 166 250 274 179 280 343 200
"8" 4744 4334 4716 2973 2027 2520 2517 2527 2913 1106 1457 556
"9" 5646 6619 6920 3361 3299 3644 2504 3119 2539 3336 2936 2441
"10" 18597 23444 19023 13569 9823 14594 8499 9899 12704 10204 7154 8416
"11" 13889 17266 13903 12396 9789 7307 6886 8739 6773 5860 6280 6284
"12" 1440 2067 1889 1550 1686 980 903 1229 1183 1613 784 1173
"13" 0 6 1 3 1 0 0 0 0 3 16 4
"14" 8267 7610 7031 4897 4327 5361 2139 2534 2781 5560 4881 5456
"15" 31 20 20 9 20 21 10 33 14 3 21 34
"16" 101 66 69 31 49 60 40 27 57 130 26 80
"17" 2111 2114 2206 1383 1620 1193 717 546 614 1117 1036 1280
"18" 173 256 160 53 147 137 47 101 57 243 337 249
"19" 49 76 76 71 60 50 6 34 34 4 14 9
"20" 691 870 376 536 489 470 287 449 401 299 244 241
"21" 1611 1586 1214 696 780 554 417 580 801 937 807 746
"22" 5276 3744 4397 2029 2344 1717 2734 2903 1663 2040 1896 1781
"23" 20764 17659 18541 11373 9473 10586 9883 8319 8339 9577 6473 11266
"24" 1707 1829 2160 929 1261 550 1010 1763 507 757 657 756
"25" 2697 2787 2917 1441 1676 1459 1871 1147 1207 1270 1386 1306
"26" 46 43 24 20 21 44 23 19 17 9 3 23
"27" 19730 18044 17680 10377 9650 10027 7599 7194 6840 11081 10977 12320
"28" 611 804 727 636 521 286 324 200 376 161 150 174
"29" 41157 30306 41946 21933 19121 20976 21939 17471 19317 18989 19834 20794
"30" 7251 6253 6884 3233 4617 3350 2879 2564 2893 2420 2527 2939
"31" 5687 4499 5064 3281 2694 3683 2104 2319 2933 3103 2670 2547
"32" 2857 4803 3406 2533 2789 1786 1597 1890 1433 1851 1571 1800
"33" 12954 9409 12273 7934 8181 4729 4696 6560 4196 4093 4143 4251
"34" 20 27 36 4 3 3 10 17 34 0 0 0
"35" 2043 1910 1660 1073 1066 980 466 900 574 1376 1864 1299
"36" 13727 14671 12326 9580 9326 8530 5540 5327 4706 6809 8469 7134
"37" 11859 16373 19073 9681 9816 8134 6290 6949 8154 8363 8957 8314
"38" 22343 33941 31360 19976 21570 15989 15104 11006 16769 12867 12667 12889
"39" 1937 1797 1283 894 1016 1177 490 669 473 1094 1194 553
"40" 14181 16717 13281 10044 9906 10103 7534 6916 7779 9697 11076 10530
"41" 1016 1601 1424 1009 664 943 419 489 497 589 423 916
"42" 2131 2589 2086 1567 1811 1364 829 763 817 1686 1730 2174
"43" 1100 1029 1201 580 669 617 494 506 454 494 483 590
"44" 67 167 166 111 147 89 66 64 81 34 17 46
