"TP1_1" "TP1_2" "TP1_3" "TP2_1" "TP2_2" "TP2_3" "TP3_1" "TP3_2" "TP3_3" "TP4_1" "TP4_2" "TP4_3"
"gene_1" 1008 1092 1526 1758 2015 1647 952 908 930 1174 735 1258
"gene_2" 76 70 74 12 15 21 0 0 0 48 236 76
"gene_3" 1364 902 1005 1621 2070 1176 1321 1306 1197 1427 1198 1452
"gene_4" 4342 4373 4932 4721 4730 4489 5838 5100 3656 3700 4168 4586
"gene_5" 27 9 9 0 0 0 5 36 8 0 0 0
"gene_6" 3417 3312 3945 5179 4698 3356 5020 3656 3298 7195 5511 6670
"gene_7" 94 100 114 188 168 221 315 208 241 200 186 271
"gene_8" 3382 2794 2697 2405 2820 2642 3198 3111 4008 1326 1402 968
"gene_9" 2698 2509 3871 2906 2726 2579 3286 3292 2523 3520 2559 2908
"gene_10" 13891 16183 15612 13097 11306 11652 11579 11973 12958 12520 8529 10805
"gene_11" 7489 8441 10062 6597 6473 7350 6865 8091 9652 5426 7106 5814
"gene_12" 1041 1020 1086 1062 1511 1044 1068 1127 1067 1494 1305 1698
"gene_13" 0 0 0 0 0 0 0 0 0 15 33 0
"gene_14" 4071 4041 3220 6594 4341 4679 2242 2274 2997 4892 5242 6703
"gene_15" 0 0 0 5 0 8 35 12 27 6 6 21
"gene_16" 15 33 12 39 12 33 27 23 52 27 98 126
"gene_17" 1471 1836 1135 1194 1548 2018 976 888 727 1059 1420 1039
"gene_18" 56 55 27 55 39 117 127 47 79 397 132 161
"gene_19" 44 21 32 20 62 42 44 32 21 6 18 14
"gene_20" 468 485 535 298 336 276 285 209 676 255 306 311
"gene_21" 579 815 486 498 688 841 591 335 577 567 673 782
"gene_22" 1686 2006 2133 3806 3695 3370 3150 2570 2873 1935 2053 2062
"gene_23" 8023 11264 9645 11236 10215 7791 8956 7483 8314 8364 6841 8505
"gene_24" 836 824 1129 533 652 538 1227 950 2009 968 986 668
"gene_25" 1508 1442 1497 1505 1159 1156 1492 1700 1233 1258 1274 1388
"gene_26" 74 20 23 55 33 39 14 14 12 30 18 18
"gene_27" 8012 7388 7398 9089 8994 9095 8133 6803 6902 8447 9783 8424
"gene_28" 268 412 397 509 506 473 415 218 323 256 182 145
"gene_29" 14041 23686 14291 19617 21168 21635 19985 16671 19339 16556 20844 17291
"gene_30" 4432 3991 4368 3724 4273 4127 2539 2724 2642 3197 3144 2703
"gene_31" 2932 2421 2586 2579 1814 2877 2038 2047 2171 2953 2970 3027
"gene_32" 1974 1921 1542 2815 2577 2811 1356 1992 2118 1829 1689 2195
"gene_33" 7898 6562 8912 4329 4632 4985 6511 4697 5539 6318 5812 5224
"gene_34" 6 3 0 0 0 0 14 33 23 0 0 0
"gene_35" 583 512 586 702 665 753 1103 623 539 1411 1870 1173
"gene_36" 7208 7362 6589 8788 9065 8303 4539 5285 6838 7682 7270 7155
"gene_37" 10779 9323 8680 4115 4783 5002 6180 7030 7641 7335 5714 10633
"gene_38" 19267 20136 22592 12770 13744 13764 22606 15638 19877 14845 14324 11668
"gene_39" 1536 958 1059 932 661 932 600 803 383 718 1102 842
"gene_40" 8133 8855 7635 8489 9691 12088 8138 6920 6652 9894 12339 10036
"gene_41" 789 788 985 1447 679 691 462 565 550 836 452 886
"gene_42" 1132 729 1194 1511 1447 1274 1439 1273 1567 1924 1402 1886
"gene_43" 691 714 589 917 562 889 538 423 638 732 411 497
"gene_44" 73 182 67 79 36 94 67 62 56 47 20 52
"gene_45" 10136 10027 7370 10311 10126 7479 9602 8561 7167 9958 7389 10426
"gene_46" 23 12 9 148 165 91 61 73 44 105 77 83
"gene_47" 1638 2877 2517 3664 4045 3715 2609 3197 2332 3335 2309 3042
"gene_48" 53 109 98 52 65 115 38 83 47 52 89 68
"gene_49" 1024 680 1138 905 923 574 692 788 774 547 508 485
"gene_50" 1518 935 1120 1159 953 1389 1327 1003 1303 2008 1447 1726
"gene_51" 1524 1505 1156 1421 1953 1285 2164 1561 1661 2389 2114 2041
"gene_52" 262 244 305 202 189 164 138 232 197 244 142 123
"gene_53" 55 38 44 11 14 14 33 9 23 23 11 11
"gene_54" 670 538 644 568 530 559 650 612 485 547 397 545
"gene_55" 2405 2486 2727 3600 3102 2742 2135 2045 2523 2126 2291 2739
"gene_56" 2941 3273 3433 4047 2986 3156 3267 3853 2830 3691 2721 3039
"gene_57" 53 24 100 61 89 71 97 100 141 55 82 82
"gene_58" 767 526 598 586 695 968 1283 1132 1353 705 898 1533
"gene_59" 0 0 0 0 0 0 9 20 5 3 6 15
"gene_60" 533 464 527 159 335 348 302 344 385 529 547 367
"gene_61" 279 276 150 521 727 448 445 532 273 82 65 148
"gene_62" 777 1198 1336 979 932 976 680 847 755 1298 1352 1095
"gene_63" 2442 2058 2300 3020 2624 3029 2217 2202 2444 2609 2641 2455
"gene_64" 6994 4233 5335 8876 7741 7261 3162 3444 2779 5783 4964 5517
"gene_65" 5058 5132 5364 3498 3524 3267 4079 3979 4408 4018 4641 4461
"gene_66" 15088 14230 15973 15752 13462 13873 15324 19576 15271 14789 13315 12808
"gene_67" 748 630 638 783 1098 771 874 1226 1014 1145 1136 897
"gene_68" 8806 5659 5708 12614 12574 11835 7741 6511 7027 10570 10230 5814
"gene_69" 2097 2321 3170 3514 3244 3233 1803 2280 2971 2176 2138 2047
"gene_70" 4073 3476 3774 3408 3562 3388 4195 4355 3870 5311 7573 3352
"gene_71" 241 273 348 483 371 579 218 267 338 491 436 697
